carat,cut,color,clarity,depth,table,x,y,z
1.17,Very Good,J,I1,60.2,61.0,6.83,6.9,4.13
0.71,Ideal,H,VVS1,60.4,57.0,5.78,5.81,3.5
0.73,Very Good,D,SI1,60.2,56.0,5.83,5.87,3.52
0.7,Very Good,D,VS1,62.7,58.0,5.66,5.73,3.57
0.26,Good,D,VS1,58.4,63.0,4.19,4.24,2.46
0.8,Very Good,E,SI2,62.5,56.0,5.88,5.96,3.7
0.72,Ideal,F,VS2,59.5,57.0,5.91,5.86,3.5
0.8,Ideal,G,SI1,62.5,57.0,5.94,5.9,3.7
0.23,Ideal,G,VS1,61.9,54.0,3.93,3.95,2.44
0.81,Ideal,E,SI2,60.3,57.0,6.07,6.04,3.65
0.72,Very Good,H,VS1,62.2,54.0,5.74,5.76,3.57
0.23,Very Good,H,VS1,61.0,57.0,3.94,3.96,2.41
0.71,Very Good,F,VVS1,63.2,60.0,5.65,5.61,3.56
0.82,Ideal,F,SI2,61.7,53.0,6.0,6.12,3.74
0.7,Fair,G,VVS1,58.8,66.0,5.81,5.9,3.44
0.74,Ideal,E,SI1,61.7,56.0,5.84,5.8,3.59
0.9,Very Good,J,SI2,63.6,58.0,6.07,6.1,3.87
0.7,Very Good,D,VS2,61.8,55.0,5.68,5.72,3.52
0.24,Very Good,F,SI1,60.9,61.0,4.02,4.03,2.45
0.8,Very Good,F,SI2,61.0,57.0,6.01,6.03,3.67
0.79,Premium,E,SI2,61.0,58.0,5.96,5.9,3.62
0.7,Good,E,VS1,57.2,59.0,5.94,5.88,3.38
0.26,Very Good,D,VVS1,62.1,60.0,4.03,4.12,2.53
0.72,Ideal,I,VS1,62.4,55.0,5.72,5.75,3.58
0.78,Ideal,I,VS1,61.5,57.0,5.88,5.92,3.63
0.79,Premium,E,VS2,60.6,53.0,6.04,5.98,3.64
0.32,Ideal,I,VVS1,62.0,55.3,4.39,4.42,2.73
1.0,Premium,J,SI2,62.3,58.0,6.45,6.34,3.98
0.7,Very Good,E,VS2,58.9,60.0,5.83,5.85,3.44
0.8,Very Good,H,VS2,63.4,60.0,5.92,5.82,3.72
0.34,Good,E,SI1,63.3,57.0,4.44,4.47,2.82
0.7,Very Good,F,VS2,62.3,58.0,5.64,5.72,3.54
0.9,Fair,H,SI2,65.8,54.0,6.05,5.98,3.96
0.42,Premium,I,SI2,61.5,59.0,4.78,4.84,2.96
0.7,Good,E,SI1,61.4,64.0,5.66,5.71,3.49
0.71,Premium,E,SI1,61.8,59.0,5.7,5.75,3.54
0.71,Premium,F,SI1,60.7,54.0,5.84,5.8,3.53
0.8,Ideal,H,SI1,61.0,57.0,6.07,6.0,3.68
0.72,Good,F,VS1,59.4,61.0,5.82,5.89,3.48
0.3,Good,I,SI2,63.3,56.0,4.26,4.3,2.71
0.68,Premium,F,VVS2,61.7,57.0,5.67,5.64,3.49
0.7,Good,E,VVS2,63.6,62.0,5.61,5.58,3.56
0.73,Very Good,F,SI1,61.4,56.0,5.81,5.86,3.58
0.26,Ideal,E,VS1,61.5,57.0,4.09,4.12,2.52
0.73,Very Good,E,SI1,57.7,61.0,5.92,5.96,3.43
0.87,Very Good,I,SI1,63.6,55.8,6.07,6.1,3.87
1.01,Ideal,I,I1,61.5,57.0,6.45,6.46,3.97
0.76,Very Good,H,SI1,60.9,55.0,5.92,5.94,3.61
0.72,Ideal,D,SI1,61.8,56.0,5.75,5.81,3.57
0.7,Ideal,D,VS2,61.0,57.0,5.74,5.76,3.51
0.7,Premium,E,VS2,59.3,60.0,5.78,5.73,3.41
0.82,Good,G,SI2,59.9,62.0,6.02,6.04,3.61
0.71,Very Good,F,VS2,62.8,57.0,5.64,5.69,3.56
0.81,Good,G,SI2,61.0,61.0,5.94,5.99,3.64
0.3,Very Good,H,SI1,63.1,56.0,4.29,4.27,2.7
0.75,Premium,E,SI1,61.1,59.0,5.86,5.83,3.57
0.33,Premium,G,SI2,59.4,59.0,4.52,4.5,2.68
0.9,Fair,D,SI2,66.9,57.0,6.02,5.9,3.99
0.74,Very Good,E,SI1,63.5,56.0,5.74,5.79,3.66
0.7,Premium,F,VS2,60.6,58.0,5.8,5.72,3.49
0.71,Premium,F,VS2,59.3,56.0,5.88,5.82,3.47
0.88,Fair,F,SI1,56.6,65.0,6.39,6.32,3.6
0.72,Very Good,F,VS1,62.2,58.0,5.75,5.7,3.56
1.0,Fair,I,SI1,66.3,61.0,6.08,6.03,4.01
0.75,Ideal,E,SI1,61.4,57.0,5.82,5.87,3.59
0.87,Very Good,F,SI2,61.0,63.0,6.22,6.07,3.75
0.63,Ideal,F,VVS2,61.5,56.0,5.48,5.52,3.38
0.71,Ideal,D,SI1,61.7,57.0,5.75,5.7,3.53
0.72,Premium,E,VS2,58.3,58.0,5.99,5.92,3.47
0.7,Very Good,G,SI2,59.0,62.0,5.79,5.81,3.42
0.7,Very Good,F,VS2,61.7,58.0,5.63,5.69,3.49
0.71,Premium,F,VS2,62.6,58.0,5.7,5.67,3.56
0.73,Premium,E,SI1,62.2,59.0,5.77,5.68,3.56
0.71,Premium,F,VS2,62.6,58.0,5.67,5.7,3.56
0.72,Very Good,H,VS1,60.6,63.0,5.83,5.76,3.51
0.77,Good,G,VS1,59.4,64.0,5.97,5.92,3.53
0.84,Very Good,F,SI1,63.8,57.0,5.95,6.0,3.81
0.91,Fair,H,SI2,61.3,67.0,6.24,6.19,3.81
0.7,Premium,E,VS2,61.1,60.0,5.71,5.64,3.47
0.8,Very Good,F,SI1,63.4,57.0,5.89,5.82,3.71
0.7,Ideal,E,VS2,62.1,55.0,5.7,5.67,3.53
0.81,Very Good,G,SI1,62.5,60.0,5.89,5.94,3.69
0.71,Very Good,F,VS1,60.0,57.0,5.84,5.9,3.52
0.71,Ideal,D,SI1,61.9,59.0,5.69,5.72,3.53
0.82,Good,G,VS2,64.0,57.0,5.92,5.89,3.78
0.63,Premium,E,VVS2,62.1,57.0,5.48,5.41,3.38
0.72,Ideal,E,SI1,60.3,57.0,5.83,5.85,3.52
0.61,Ideal,E,VVS2,61.3,54.0,5.51,5.59,3.4
0.71,Premium,E,SI1,59.2,59.0,5.83,5.86,3.46
0.24,Very Good,D,VVS1,61.5,60.0,3.97,4.0,2.45
0.7,Good,E,VS2,64.1,55.0,5.6,5.66,3.61
0.9,Good,I,SI1,63.8,57.0,6.06,6.13,3.89
0.72,Premium,E,VS2,63.0,55.0,5.79,5.61,3.59
0.73,Ideal,F,VS2,62.7,53.0,5.8,5.75,3.62
1.04,Premium,G,I1,62.2,58.0,6.46,6.41,4.0
0.8,Good,F,SI1,63.8,59.0,5.87,5.83,3.73
1.01,Good,H,I1,64.2,61.0,6.25,6.18,3.99
0.73,Premium,E,VS2,62.0,57.0,5.86,5.76,3.6
0.91,Fair,H,SI1,65.8,58.0,6.04,6.01,3.96
0.75,Very Good,F,SI2,59.8,56.0,5.85,5.92,3.52
0.83,Very Good,I,VS2,61.6,58.0,6.05,6.07,3.73
0.31,Ideal,H,VS1,61.6,54.8,4.35,4.37,2.69
0.87,Ideal,H,SI2,62.7,56.0,6.16,6.13,3.85
0.91,Very Good,I,SI2,62.8,61.0,6.15,6.18,3.87
0.78,Very Good,I,VVS2,61.4,56.0,5.91,5.95,3.64
0.71,Premium,F,VS1,59.0,60.0,5.82,5.8,3.43
0.81,Ideal,F,SI2,62.6,55.0,5.92,5.96,3.72
0.62,Ideal,G,VVS2,61.6,56.0,5.48,5.51,3.38
0.81,Ideal,F,SI2,62.1,57.0,5.91,5.95,3.68
0.23,Good,E,VS1,56.9,65.0,4.05,4.07,2.31
0.52,Ideal,F,IF,62.2,55.0,5.14,5.18,3.21
0.71,Ideal,D,SI1,62.4,57.0,5.69,5.72,3.56
0.71,Very Good,E,VS2,60.0,59.0,5.84,5.83,3.5
0.7,Ideal,D,SI1,61.4,54.0,5.75,5.71,3.52
0.72,Ideal,F,SI1,61.5,56.0,5.72,5.79,3.54
0.72,Premium,F,SI1,61.8,61.0,5.82,5.71,3.56
0.73,Premium,E,VS1,61.3,59.0,5.81,5.78,3.55
0.7,Ideal,E,VS1,61.8,56.0,5.74,5.69,3.53
0.28,Ideal,G,VVS2,61.4,56.0,4.19,4.22,2.58
0.86,Premium,F,SI2,59.3,62.0,6.36,6.22,3.73
0.33,Ideal,I,SI2,61.2,56.0,4.49,4.5,2.75
0.33,Premium,F,SI2,63.0,58.0,4.42,4.4,2.78
0.9,Fair,I,SI1,65.7,58.0,6.03,6.0,3.95
0.99,Fair,J,SI1,55.0,61.0,6.72,6.67,3.68
0.7,Premium,H,VVS1,59.2,60.0,5.87,5.78,3.45
0.71,Very Good,D,SI1,62.4,54.0,5.71,5.79,3.59
0.71,Premium,G,VVS2,62.1,57.0,5.75,5.65,3.54
0.76,Ideal,I,VS2,61.3,56.0,5.87,5.91,3.61
0.79,Ideal,D,SI2,62.8,57.0,5.9,5.85,3.69
0.7,Ideal,D,SI1,61.4,54.0,5.71,5.75,3.52
0.5,Ideal,E,VVS2,62.2,54.0,5.08,5.12,3.17
0.7,Ideal,G,VVS2,62.1,56.0,5.63,5.71,3.52
0.72,Very Good,G,VS2,63.7,56.4,5.62,5.69,3.61
0.77,Ideal,I,VS1,61.5,59.0,5.87,5.91,3.62
0.31,Good,H,SI1,64.0,54.0,4.29,4.31,2.75
0.73,Good,E,SI1,63.6,57.0,5.72,5.7,3.63
0.7,Premium,E,SI1,60.5,58.0,5.77,5.74,3.48
0.83,Very Good,I,VS1,61.1,60.0,6.07,6.1,3.72
0.7,Ideal,E,SI1,60.9,57.0,5.73,5.76,3.5
0.78,Ideal,H,SI1,61.2,56.0,5.92,5.99,3.64
0.7,Very Good,G,VVS2,62.9,59.0,5.61,5.68,3.55
0.3,Premium,H,SI1,60.1,55.0,4.41,4.38,2.64
0.75,Premium,E,SI2,61.9,57.0,5.88,5.82,3.62
0.71,Premium,F,VS1,59.1,61.0,5.84,5.81,3.44
0.62,Ideal,G,IF,61.8,56.0,5.43,5.47,3.37
0.82,Ideal,F,SI2,62.4,54.0,5.97,6.02,3.74
0.74,Ideal,H,SI1,62.1,56.0,5.77,5.83,3.6
0.63,Premium,E,IF,60.3,62.0,5.55,5.53,3.34
0.77,Premium,E,SI1,62.9,59.0,5.84,5.79,3.66
0.72,Ideal,F,VS1,62.0,56.0,5.76,5.73,3.56
0.7,Good,E,SI1,63.5,59.0,5.49,5.53,3.5
0.7,Premium,E,VS1,60.8,60.0,5.74,5.71,3.48
0.7,Very Good,F,VS2,59.5,58.0,5.75,5.85,3.45
0.77,Ideal,D,SI2,62.1,56.0,5.83,5.89,3.64
0.32,Premium,I,SI1,62.7,58.0,4.37,4.34,2.73
1.02,Ideal,H,SI2,61.6,55.0,6.49,6.43,3.98
0.9,Fair,I,SI1,67.3,59.0,5.93,5.84,3.96
0.7,Premium,E,SI1,60.0,59.0,5.79,5.75,3.46
0.7,Very Good,H,VVS1,60.5,60.0,5.74,5.77,3.48
0.71,Very Good,G,VS2,60.9,56.0,5.75,5.78,3.51
0.8,Premium,H,VS2,61.2,53.0,6.05,5.98,3.68
0.3,Ideal,I,SI2,61.0,59.0,4.3,4.33,2.63
0.7,Very Good,D,SI1,60.2,60.0,5.75,5.82,3.48
0.7,Good,F,VS1,59.4,62.0,5.71,5.76,3.4
0.71,Premium,G,VS2,59.8,56.0,5.89,5.81,3.5
0.79,Premium,D,SI2,60.0,60.0,6.07,6.03,3.63
1.04,Premium,I,I1,61.6,61.0,6.47,6.45,3.98
0.7,Ideal,D,SI2,60.6,57.0,5.74,5.77,3.49
0.8,Very Good,I,VS2,62.0,58.0,5.86,5.95,3.66
0.71,Ideal,D,SI2,62.3,56.0,5.73,5.69,3.56
0.7,Premium,F,VS2,62.3,58.0,5.72,5.64,3.54
0.7,Premium,E,VS2,60.7,62.0,5.72,5.68,3.46
0.3,Ideal,D,SI1,62.5,57.0,4.29,4.32,2.69
0.72,Premium,E,SI1,62.1,58.0,5.76,5.73,3.57
0.61,Ideal,G,VVS2,60.1,57.0,5.52,5.54,3.32
0.35,Ideal,G,SI1,60.6,56.0,4.56,4.58,2.77
0.29,Premium,I,VS2,62.4,58.0,4.2,4.23,2.63
0.3,Very Good,I,SI1,63.0,57.0,4.28,4.32,2.71
0.75,Very Good,D,SI2,63.1,58.0,5.78,5.73,3.63
0.7,Ideal,E,VS2,62.1,54.0,5.69,5.72,3.54
0.75,Premium,E,SI1,59.9,54.0,6.0,5.96,3.58
0.97,Ideal,F,I1,60.7,56.0,6.43,6.41,3.9
0.7,Good,E,VS1,57.2,62.0,5.81,5.77,3.31
0.71,Premium,E,SI1,61.4,58.0,5.77,5.73,3.53
0.31,Good,J,SI2,63.3,58.0,4.34,4.35,2.75
0.32,Ideal,I,SI1,60.9,55.0,4.45,4.48,2.72
0.3,Good,J,SI1,63.4,54.0,4.23,4.29,2.7
0.33,Ideal,G,SI2,61.9,56.0,4.45,4.41,2.74
0.7,Good,H,VVS1,62.7,56.0,5.6,5.66,3.53
0.7,Premium,E,VS1,62.2,58.0,5.6,5.66,3.5
0.31,Ideal,I,VVS1,62.3,54.0,4.37,4.4,2.73
0.76,Ideal,D,SI2,62.4,57.0,5.78,5.83,3.62
0.72,Very Good,G,VS1,63.8,58.0,5.64,5.68,3.61
0.54,Ideal,D,VVS2,61.5,55.0,5.25,5.29,3.24
0.32,Good,E,VS2,64.1,54.0,4.34,4.37,2.79
0.81,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69
0.7,Ideal,E,SI1,61.6,56.0,5.72,5.75,3.53
0.72,Ideal,G,VS2,62.8,56.0,5.74,5.7,3.59
0.7,Premium,G,VVS2,61.8,58.0,5.67,5.63,3.49
0.76,Ideal,E,SI1,61.7,57.0,5.88,5.85,3.62
0.89,Premium,H,SI2,60.2,59.0,6.26,6.23,3.76
0.71,Premium,D,SI1,60.6,58.0,5.79,5.77,3.5
0.75,Very Good,E,SI1,63.1,56.0,5.78,5.7,3.62
0.23,Very Good,F,VS1,60.0,57.0,4.0,4.03,2.41
0.72,Premium,I,IF,63.0,57.0,5.72,5.7,3.6
0.76,Premium,D,SI1,61.1,59.0,5.93,5.88,3.61
0.71,Very Good,E,VS2,61.2,58.0,5.71,5.79,3.52
0.71,Ideal,G,VS2,62.4,54.0,5.72,5.76,3.58
1.17,Premium,J,I1,60.2,61.0,6.9,6.83,4.13
0.8,Premium,F,SI2,61.7,58.0,5.98,5.94,3.68
0.33,Good,I,SI1,63.6,53.0,4.43,4.4,2.81
1.01,Fair,H,SI2,65.4,59.0,6.3,6.26,4.11
0.57,Ideal,F,VVS2,61.9,55.0,5.34,5.35,3.31
0.3,Very Good,J,VS2,62.2,57.0,4.28,4.3,2.67
0.8,Good,G,SI1,62.7,57.0,5.84,5.93,3.69
0.9,Very Good,I,SI2,61.3,56.0,6.17,6.23,3.8
0.71,Ideal,D,SI1,60.2,56.0,5.86,5.83,3.52
1.0,Fair,G,SI2,67.8,61.0,5.96,5.9,4.02
0.7,Very Good,E,SI1,59.9,63.0,5.76,5.7,3.43
0.56,Very Good,E,IF,61.0,59.0,5.28,5.34,3.24
0.99,Fair,I,SI2,68.1,56.0,6.21,6.06,4.18
0.9,Good,J,SI1,64.0,61.0,6.0,5.96,3.83
1.27,Premium,H,SI2,59.3,61.0,7.12,7.05,4.2
0.73,Premium,E,VS1,62.6,60.0,5.68,5.75,3.58
0.8,Very Good,D,SI2,62.5,59.0,5.88,5.92,3.69
0.74,Premium,D,VS2,61.8,58.0,5.81,5.77,3.58
0.76,Fair,G,VS1,59.0,70.0,5.89,5.8,3.46
0.6,Ideal,F,VVS2,62.0,55.0,5.37,5.4,3.34
0.72,Premium,D,SI2,62.0,60.0,5.73,5.69,3.54
0.72,Very Good,G,VVS2,62.5,58.0,5.68,5.72,3.56
0.72,Ideal,E,SI1,62.3,57.0,5.76,5.7,3.57
0.74,Premium,F,VS2,61.7,58.0,5.85,5.78,3.59
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55
0.52,Ideal,F,VVS1,61.3,55.0,5.19,5.22,3.19
0.74,Ideal,D,SI2,61.7,55.0,5.81,5.85,3.6
0.71,Ideal,F,VS2,61.2,56.0,5.73,5.77,3.52
0.3,Ideal,G,VS1,62.3,56.0,4.29,4.31,2.68
0.66,Premium,D,VS1,61.0,58.0,5.67,5.57,3.43
0.31,Very Good,J,SI1,59.4,62.0,4.39,4.43,2.62
0.71,Very Good,G,VS1,63.5,55.0,5.66,5.64,3.59
0.71,Very Good,F,VS1,62.6,55.0,5.66,5.71,3.56
0.7,Premium,F,VS1,60.8,62.0,5.71,5.67,3.46
0.76,Very Good,F,SI1,62.9,57.0,5.79,5.81,3.65
0.5,Ideal,E,VVS2,62.2,54.0,5.09,5.11,3.17
0.77,Very Good,G,VS2,58.3,63.0,6.0,6.05,3.51
0.34,Good,E,SI1,63.5,55.0,4.44,4.47,2.83
0.71,Premium,D,SI1,61.7,56.0,5.8,5.68,3.54
1.0,Fair,H,SI2,69.5,55.0,6.17,6.1,4.26
0.71,Premium,F,VS2,62.8,57.0,5.69,5.64,3.56
0.7,Ideal,H,VVS1,62.3,55.0,5.66,5.7,3.54
0.71,Very Good,H,VVS1,62.9,57.0,5.67,5.69,3.57
0.77,Ideal,D,SI2,61.5,55.0,5.9,5.93,3.64
0.7,Ideal,D,SI1,61.8,56.0,5.63,5.73,3.51
0.73,Ideal,E,SI1,62.2,56.0,5.74,5.78,3.58
0.71,Premium,E,SI1,61.8,59.0,5.75,5.7,3.54
0.26,Ideal,E,VVS2,62.9,58.0,4.02,4.06,2.54
0.81,Premium,G,SI1,63.0,60.0,5.87,5.81,3.68
0.31,Very Good,F,SI1,61.8,58.0,4.32,4.35,2.68
0.71,Ideal,I,VVS2,60.2,56.0,5.84,5.89,3.53
0.7,Premium,E,VS2,63.0,60.0,5.64,5.6,3.54
0.71,Ideal,E,VS2,61.6,56.0,5.74,5.76,3.54
0.33,Premium,J,VS1,62.8,58.0,4.41,4.38,2.76
0.7,Good,G,VS1,65.1,58.0,5.56,5.59,3.63
0.3,Good,J,SI1,64.0,55.0,4.25,4.28,2.73
0.7,Premium,F,VS2,61.8,60.0,5.69,5.64,3.5
0.23,Very Good,E,VS1,60.7,59.0,3.97,4.01,2.42
0.61,Ideal,F,VVS2,61.7,55.0,5.45,5.48,3.37
0.72,Very Good,E,VS2,58.3,57.0,5.89,5.94,3.45
0.75,Very Good,F,SI1,63.4,58.0,5.72,5.76,3.64
0.7,Premium,F,VS2,60.9,61.0,5.71,5.66,3.46
0.53,Ideal,F,VVS1,60.9,57.0,5.23,5.29,3.19
0.77,Ideal,H,SI1,62.4,56.0,5.84,5.9,3.66
0.74,Very Good,G,VS1,59.8,58.0,5.85,5.89,3.51
0.7,Very Good,F,VS1,59.9,60.0,5.77,5.84,3.48
0.32,Premium,I,SI1,62.9,58.0,4.35,4.33,2.73
0.74,Ideal,G,VS1,61.5,55.0,5.81,5.86,3.59
0.82,Ideal,F,SI2,62.3,56.0,5.99,5.95,3.72
0.7,Very Good,E,VS2,62.6,60.0,5.62,5.65,3.53
0.72,Ideal,F,VS1,61.7,57.0,5.74,5.77,3.55
0.26,Very Good,H,SI1,61.9,55.0,4.07,4.11,2.53
0.73,Ideal,G,VS2,61.8,54.0,5.8,5.82,3.59
0.71,Good,F,VS2,57.8,60.0,5.9,5.87,3.4
0.83,Premium,E,SI2,59.2,60.0,6.17,6.12,3.64
0.71,Premium,F,VS2,62.1,58.0,5.67,5.7,3.53
0.6,Very Good,G,IF,61.6,56.0,5.43,5.46,3.35
0.23,Very Good,F,VS1,59.8,57.0,4.04,4.06,2.42
1.01,Fair,E,SI2,67.6,57.0,6.21,6.11,4.18
0.71,Ideal,F,SI1,62.5,55.0,5.71,5.65,3.55
0.34,Good,G,VS2,57.5,61.0,4.6,4.66,2.66
0.7,Ideal,E,SI1,62.7,55.0,5.68,5.74,3.58
0.76,Premium,E,SI1,60.4,58.0,5.92,5.94,3.58
0.3,Premium,J,SI2,59.3,61.0,4.43,4.38,2.61
0.33,Ideal,I,SI1,63.0,57.0,4.39,4.37,2.76
0.7,Good,H,VVS2,62.1,64.0,5.62,5.65,3.5
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57
0.32,Ideal,I,SI1,62.4,57.0,4.37,4.35,2.72
0.83,Very Good,H,SI1,62.5,59.0,5.95,6.02,3.74
0.74,Fair,F,VS2,61.1,68.0,5.82,5.75,3.53
0.71,Very Good,E,VS2,62.4,57.0,5.68,5.73,3.56
0.31,Ideal,I,VVS1,61.3,56.0,4.36,4.38,2.68
0.33,Ideal,J,VS1,62.1,55.0,4.44,4.41,2.75
1.2,Fair,F,I1,64.6,56.0,6.73,6.66,4.33
0.77,Good,F,SI1,64.2,52.0,5.81,5.77,3.72
0.9,Fair,I,SI1,65.8,56.0,6.01,5.96,3.94
0.24,Premium,H,VVS1,60.8,59.0,4.02,4.0,2.44
0.7,Ideal,G,VS1,61.4,59.0,5.64,5.73,3.49
0.71,Ideal,G,VVS2,61.5,57.0,5.73,5.75,3.53
0.6,Ideal,E,VS1,61.7,55.0,5.41,5.44,3.35
0.51,Ideal,F,VVS1,62.0,57.0,5.15,5.11,3.18
0.9,Fair,G,SI2,64.5,56.0,6.06,6.0,3.89
0.7,Ideal,E,VS2,60.7,58.0,5.73,5.76,3.49
0.8,Ideal,F,SI2,59.9,59.0,6.01,6.07,3.62
0.82,Very Good,F,SI2,59.7,57.0,6.12,6.14,3.66
0.23,Ideal,E,SI2,61.5,55.0,3.95,3.98,2.43
0.32,Very Good,I,SI1,63.1,56.0,4.39,4.36,2.76
0.3,Ideal,H,SI1,62.9,57.0,4.27,4.22,2.67
0.33,Ideal,H,SI2,61.4,56.0,4.85,4.79,2.95
0.76,Ideal,E,SI1,62.7,54.0,5.88,5.83,3.67
0.71,Premium,F,VS1,62.7,59.0,5.7,5.62,3.55
0.73,Very Good,F,SI1,61.7,60.0,5.79,5.82,3.58
0.73,Ideal,F,VS2,62.6,56.0,5.77,5.74,3.6
0.71,Premium,D,SI2,61.7,59.0,5.71,5.67,3.51
0.95,Fair,G,SI1,66.7,56.0,6.16,6.03,4.06
0.7,Premium,D,VS2,59.6,61.0,5.8,5.77,3.45
0.36,Ideal,H,SI1,61.9,55.0,4.57,4.59,2.83
0.7,Very Good,F,VS1,62.0,57.0,5.64,5.71,3.52
0.72,Premium,F,VS1,62.2,58.0,5.75,5.7,3.56
0.71,Ideal,G,VS1,62.9,58.0,5.66,5.69,3.57
0.7,Premium,E,VS1,59.4,61.0,5.78,5.74,3.42
0.82,Premium,G,SI1,59.9,59.0,6.09,6.06,3.64
0.72,Ideal,E,VS2,62.8,57.0,5.71,5.73,3.59
0.9,Good,H,SI2,63.5,58.0,6.09,6.14,3.88
0.83,Ideal,F,SI2,62.3,55.0,6.02,6.05,3.76
0.8,Ideal,G,SI1,61.3,57.0,5.96,5.91,3.64
0.63,Premium,E,VVS1,60.9,60.0,5.52,5.55,3.37
0.84,Ideal,G,SI2,62.3,55.0,6.08,6.03,3.77
0.71,Ideal,E,VS1,62.4,56.0,5.75,5.7,3.57
0.8,Very Good,F,SI1,62.6,58.0,5.9,5.92,3.7
0.7,Premium,E,VS2,61.5,59.0,5.73,5.68,3.51
0.79,Premium,H,VVS2,62.6,58.0,5.96,5.9,3.71
0.71,Ideal,G,VVS2,60.7,57.0,5.81,5.78,3.52
0.9,Fair,G,SI2,65.3,59.0,6.07,6.0,3.94
0.71,Very Good,E,VS2,64.0,57.0,5.66,5.68,3.63
0.84,Very Good,H,SI1,61.2,57.0,6.1,6.12,3.74
0.79,Premium,G,VS2,59.3,62.0,6.09,6.01,3.59
0.72,Ideal,G,VS2,61.9,58.0,5.72,5.75,3.55
0.71,Very Good,F,VS1,62.2,58.0,5.66,5.72,3.54
0.92,Ideal,D,SI2,61.9,56.0,6.27,6.2,3.86
0.2,Premium,E,SI2,60.2,62.0,3.79,3.75,2.27
0.24,Premium,H,VVS1,61.2,58.0,4.01,3.96,2.44
0.75,Very Good,G,VS2,63.4,56.0,5.78,5.74,3.65
0.73,Very Good,H,VVS1,60.4,59.0,5.83,5.89,3.54
0.74,Ideal,E,SI1,62.3,58.0,5.74,5.78,3.59
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38
0.3,Good,I,SI1,63.2,55.0,4.25,4.29,2.7
0.74,Premium,F,VS2,61.9,56.0,5.8,5.77,3.58
0.73,Premium,E,VS2,58.6,60.0,5.92,5.89,3.46
0.51,Ideal,D,VVS1,61.7,56.0,5.12,5.16,3.17
0.33,Ideal,J,SI1,61.1,56.0,4.49,4.55,2.76
0.7,Very Good,F,VS2,62.9,58.0,5.63,5.65,3.55
0.76,Premium,E,SI1,62.2,59.0,5.86,5.81,3.63
0.26,Very Good,E,VVS1,62.6,59.0,4.06,4.09,2.55
0.23,Very Good,D,VS2,60.5,61.0,3.96,3.97,2.4
0.77,Premium,H,VS1,61.3,60.0,5.9,5.88,3.61
0.79,Very Good,D,SI2,59.7,58.0,6.0,6.07,3.6
0.71,Ideal,E,SI1,61.3,55.0,5.77,5.72,3.52
0.83,Very Good,D,SI1,63.5,54.0,5.98,5.95,3.79
0.61,Ideal,G,IF,62.3,56.0,5.43,5.45,3.39
0.26,Good,E,VVS1,57.9,60.0,4.22,4.25,2.45
0.7,Ideal,F,SI1,60.7,57.0,5.73,5.75,3.49
0.71,Very Good,F,VS1,60.1,62.0,5.74,5.77,3.46
0.74,Ideal,E,SI2,62.2,56.0,5.8,5.84,3.62
0.7,Premium,E,SI1,61.2,57.0,5.73,5.68,3.49
0.71,Premium,E,VS2,62.7,58.0,5.74,5.68,3.58
