carat,cut,color,clarity,depth,table,x,y,z
0.76,Ideal,E,SI2,62.8,56.0,5.78,5.82,3.64
0.71,Premium,D,SI1,61.3,58.0,5.75,5.73,3.52
0.91,Fair,H,SI2,65.7,60.0,6.03,5.99,3.95
0.77,Premium,G,VS2,61.3,57.0,5.93,5.88,3.62
0.71,Ideal,F,VS1,62.1,55.0,5.82,5.68,3.57
0.7,Fair,F,VS2,65.3,55.0,5.63,5.58,3.66
0.71,Ideal,E,VS2,62.7,56.0,5.71,5.75,3.59
0.7,Premium,D,SI1,62.8,60.0,5.68,5.66,3.56
0.76,Premium,H,VVS2,59.6,57.0,5.91,5.86,3.51
0.71,Good,D,VS2,62.3,61.0,5.7,5.73,3.56
0.73,Ideal,E,SI2,61.5,55.0,5.82,5.86,3.59
0.75,Premium,G,VS2,61.7,58.0,5.85,5.79,3.59
0.71,Ideal,F,SI1,59.8,53.0,5.86,5.82,3.49
0.7,Ideal,F,VS1,62.4,56.0,5.69,5.65,3.54
0.7,Very Good,E,VS1,62.0,59.0,5.65,5.68,3.51
0.84,Fair,G,SI1,55.1,67.0,6.39,6.2,3.47
0.76,Very Good,F,VS2,62.0,58.0,5.8,5.86,3.62
0.83,Very Good,E,SI2,58.0,62.0,6.19,6.25,3.61
0.79,Very Good,E,SI1,63.2,56.0,5.91,5.86,3.72
0.91,Premium,H,SI1,61.4,56.0,6.09,5.97,3.7
0.29,Very Good,E,VS1,61.9,55.0,4.28,4.33,2.66
0.9,Premium,J,SI1,61.8,58.0,6.16,6.13,3.8
0.23,Good,E,VS1,64.1,59.0,3.83,3.85,2.46
0.64,Ideal,G,VVS1,61.9,56.0,5.53,5.56,3.43
0.78,Ideal,D,SI1,61.9,57.0,5.91,5.86,3.64
0.7,Premium,F,VS1,60.7,60.0,5.78,5.75,3.5
0.9,Very Good,I,SI2,63.5,56.0,6.17,6.07,3.88
0.59,Ideal,E,VVS1,62.0,56.0,5.36,5.38,3.33
0.71,Ideal,F,VS2,62.1,54.0,5.68,5.72,3.54
0.7,Ideal,E,VS1,62.9,57.0,5.66,5.61,3.54
0.7,Ideal,E,SI1,61.4,57.0,5.76,5.7,3.52
0.73,Premium,E,VS1,62.6,60.0,5.75,5.68,3.58
0.62,Fair,F,IF,60.1,61.0,5.53,5.56,3.33
1.01,Fair,E,I1,64.5,58.0,6.29,6.21,4.03
0.71,Very Good,E,VS2,63.8,58.0,5.62,5.66,3.6
0.71,Very Good,E,VS2,62.7,59.0,5.65,5.7,3.56
0.7,Very Good,G,VS1,63.0,60.0,5.57,5.64,3.53
0.83,Ideal,E,SI2,62.2,57.0,6.0,6.05,3.75
0.7,Very Good,E,SI1,63.2,60.0,5.6,5.51,3.51
0.74,Ideal,H,VS1,61.6,56.0,5.81,5.82,3.58
0.92,Premium,J,SI1,62.9,58.0,6.22,6.18,3.9
0.3,Premium,H,SI1,62.5,57.0,4.29,4.25,2.67
0.79,Ideal,F,SI1,62.8,56.0,5.88,5.9,3.7
0.8,Ideal,I,VS1,62.9,56.0,5.94,5.87,3.72
0.66,Ideal,D,VS1,62.1,56.0,5.54,5.57,3.45
0.91,Good,J,VS2,64.2,58.0,6.12,6.09,3.92
0.77,Premium,F,VS2,61.8,56.0,5.94,5.9,3.66
0.3,Ideal,I,SI2,62.0,54.0,4.31,4.34,2.68
0.9,Fair,J,VS2,65.0,56.0,6.08,6.04,3.94
0.86,Fair,E,SI2,55.1,69.0,6.45,6.33,3.52
0.24,Premium,H,VVS2,60.7,58.0,4.07,4.04,2.46
0.83,Ideal,H,SI1,62.5,55.0,6.04,6.0,3.76
0.74,Ideal,G,SI1,61.6,55.0,5.8,5.85,3.59
0.71,Good,D,VS2,63.3,56.0,5.64,5.68,3.58
0.8,Ideal,G,SI2,61.6,56.0,5.97,6.01,3.69
0.76,Premium,E,SI1,61.8,58.0,5.82,5.86,3.61
0.73,Very Good,F,VS2,62.5,57.0,5.7,5.75,3.58
0.73,Premium,G,VS2,60.7,58.0,5.87,5.82,3.55
0.73,Premium,E,VS2,61.6,59.0,5.77,5.73,3.54
0.71,Very Good,D,SI1,61.5,58.0,5.73,5.79,3.54
0.82,Ideal,F,SI2,62.3,56.0,6.02,5.96,3.73
0.71,Premium,H,VVS2,61.5,62.0,5.74,5.68,3.51
0.3,Good,J,SI1,63.8,56.0,4.23,4.26,2.71
1.12,Premium,H,I1,59.1,61.0,6.78,6.75,4.0
0.74,Ideal,E,SI1,62.3,54.0,5.8,5.83,3.62
0.78,Premium,F,VS2,62.6,58.0,5.91,5.82,3.67
0.7,Very Good,E,VS1,62.4,56.0,5.64,5.7,3.54
0.73,Ideal,H,VS2,62.7,55.0,5.72,5.76,3.6
0.76,Very Good,F,SI2,58.5,62.0,5.93,6.01,3.49
0.7,Premium,F,VS1,59.0,59.0,5.79,5.77,3.41
0.74,Premium,G,VS1,62.9,60.0,5.74,5.68,3.59
0.9,Very Good,G,SI2,63.1,58.0,6.08,6.02,3.82
0.7,Ideal,H,VVS1,62.3,58.0,5.66,5.7,3.54
0.72,Ideal,F,VS1,61.7,57.0,5.77,5.74,3.55
0.54,Ideal,E,VVS2,61.5,57.0,5.24,5.26,3.23
0.72,Good,G,VS2,59.7,60.5,5.8,5.84,3.47
0.29,Very Good,E,VS1,62.4,55.0,4.2,4.25,2.63
0.71,Ideal,F,VS1,61.5,57.0,5.74,5.71,3.52
0.91,Very Good,I,SI1,63.5,57.0,6.12,6.07,3.87
0.82,Premium,E,SI2,60.8,60.0,6.05,6.03,3.67
0.7,Good,F,VS1,62.8,61.0,5.57,5.61,3.51
0.34,Ideal,I,VS1,61.8,55.0,4.48,4.52,2.78
1.0,Premium,F,I1,58.9,60.0,6.6,6.55,3.87
1.0,Fair,G,I1,66.4,59.0,6.16,6.09,4.07
0.83,Premium,G,SI1,62.3,58.0,6.01,5.97,3.73
0.86,Ideal,H,SI2,61.8,55.0,6.12,6.14,3.79
0.33,Premium,I,SI1,60.4,59.0,4.54,4.5,2.73
0.26,Very Good,D,VVS2,62.8,60.0,4.01,4.05,2.53
0.85,Ideal,H,SI2,62.5,57.0,6.02,6.07,3.78
0.73,Premium,F,VS2,59.9,59.0,5.87,5.77,3.5
0.7,Ideal,F,VS1,61.6,54.0,5.75,5.72,3.53
0.82,Premium,E,SI2,61.7,59.0,6.01,5.98,3.7
0.7,Very Good,F,VS1,61.8,59.0,5.66,5.76,3.53
0.73,Premium,D,SI1,60.8,55.0,5.87,5.81,3.55
0.71,Premium,F,VS1,62.7,58.0,5.71,5.67,3.57
0.32,Very Good,F,VS2,61.4,58.0,4.37,4.42,2.7
0.72,Ideal,H,VVS2,60.9,57.0,5.79,5.77,3.52
0.72,Very Good,F,VS2,62.5,58.0,5.71,5.75,3.58
0.31,Very Good,G,SI1,63.3,57.0,4.33,4.3,2.73
0.7,Very Good,D,SI1,62.3,59.0,5.67,5.7,3.54
0.26,Very Good,D,VVS2,62.4,54.0,4.08,4.13,2.56
0.75,Ideal,G,SI1,62.2,55.0,5.87,5.8,3.63
0.54,Ideal,D,VVS2,61.4,52.0,5.3,5.34,3.26
0.71,Ideal,G,VS1,61.5,56.0,5.74,5.78,3.54
0.73,Premium,G,VS1,61.4,58.0,5.82,5.77,3.56
0.72,Premium,E,SI1,62.1,58.0,5.73,5.76,3.57
0.9,Premium,I,VS2,61.9,59.0,6.2,6.14,3.82
0.74,Ideal,G,SI1,61.3,55.0,5.85,5.86,3.59
0.73,Good,E,SI1,63.6,57.0,5.7,5.72,3.63
0.73,Premium,F,VS2,59.9,58.0,5.87,5.84,3.51
0.75,Ideal,I,SI1,61.8,55.0,5.83,5.85,3.61
0.31,Ideal,I,VVS1,62.2,53.0,4.36,4.38,2.72
0.7,Premium,D,VS2,62.4,56.0,5.72,5.66,3.55
0.72,Premium,E,VS2,62.4,59.0,5.77,5.7,3.58
0.53,Ideal,F,VVS1,61.6,56.0,5.18,5.24,3.21
0.7,Ideal,F,VS1,61.6,55.0,5.75,5.71,3.53
0.74,Very Good,E,SI1,60.0,57.0,5.85,5.89,3.52
0.7,Ideal,F,SI1,61.6,55.0,5.72,5.74,3.53
0.24,Premium,E,VVS1,60.7,58.0,4.01,4.03,2.44
0.8,Premium,E,SI2,60.2,57.0,6.05,6.01,3.63
0.73,Premium,G,VS2,59.2,59.0,5.92,5.87,3.49
0.23,Ideal,J,VS1,62.8,56.0,3.93,3.9,2.46
0.71,Ideal,D,SI2,61.6,55.0,5.74,5.76,3.54
0.77,Ideal,I,VVS2,62.1,57.0,5.84,5.86,3.63
0.84,Very Good,E,SI1,63.4,55.0,6.0,5.95,3.79
0.8,Ideal,I,VS1,62.6,54.0,5.92,5.96,3.72
0.74,Very Good,F,VS2,61.3,61.0,5.8,5.84,3.57
0.95,Fair,F,SI2,56.0,60.0,6.62,6.53,3.68
0.71,Premium,G,VS1,62.2,59.0,5.73,5.66,3.54
0.79,Ideal,G,SI1,62.6,55.0,5.91,5.95,3.71
0.9,Good,H,SI2,62.7,64.0,6.09,6.0,3.79
0.58,Very Good,E,IF,60.6,59.0,5.37,5.43,3.27
0.79,Very Good,H,VS1,63.7,56.0,5.85,5.92,3.75
0.7,Very Good,F,VS2,63.6,57.0,5.61,5.65,3.58
0.7,Premium,F,VS2,58.7,61.0,5.8,5.72,3.38
0.7,Very Good,F,VS1,60.0,57.0,5.8,5.87,3.5
0.7,Good,E,VVS2,60.1,63.0,5.68,5.71,3.42
0.82,Ideal,F,SI2,62.4,54.0,6.02,5.97,3.74
1.01,Ideal,I,I1,61.5,57.0,6.46,6.45,3.97
1.01,Fair,E,SI2,67.4,60.0,6.19,6.05,4.13
0.91,Good,I,VS2,64.3,58.0,6.09,6.05,3.9
0.7,Ideal,F,VS1,62.4,53.0,5.73,5.71,3.57
0.76,Premium,E,SI1,61.1,58.0,5.91,5.85,3.59
0.72,Ideal,E,SI1,62.7,55.0,5.64,5.69,3.55
0.22,Fair,E,VS2,65.1,61.0,3.87,3.78,2.49
0.71,Ideal,F,SI1,60.7,56.0,5.77,5.8,3.51
0.7,Ideal,H,VVS1,61.6,57.0,5.69,5.74,3.52
0.7,Ideal,D,SI1,61.8,56.0,5.73,5.63,3.51
0.7,Ideal,H,SI1,61.4,56.0,5.7,5.76,3.52
0.7,Premium,F,VS1,62.1,60.0,5.71,5.65,3.53
0.71,Good,E,SI1,62.8,64.0,5.6,5.54,3.5
0.8,Ideal,H,VS2,62.8,57.0,5.91,5.87,3.7
0.71,Premium,G,VS2,59.9,60.0,5.81,5.77,3.47
1.05,Fair,J,SI2,65.8,59.0,6.41,6.27,4.18
0.7,Premium,E,VS2,59.5,59.0,5.82,5.77,3.45
0.71,Ideal,I,VS2,61.5,55.0,5.76,5.78,3.55
0.73,Ideal,E,SI1,59.1,59.0,5.92,5.95,3.51
0.79,Ideal,G,SI1,61.8,56.0,5.93,5.91,3.66
0.73,Very Good,H,VS2,60.8,56.0,5.82,5.84,3.55
0.81,Very Good,E,SI1,60.3,60.0,6.07,6.1,3.67
0.21,Premium,E,SI1,59.8,61.0,3.89,3.84,2.31
0.91,Ideal,D,SI2,62.2,57.0,6.21,6.15,3.85
0.7,Ideal,F,VS1,62.2,56.0,5.73,5.68,3.55
0.71,Ideal,E,SI1,61.3,55.0,5.72,5.77,3.52
0.71,Premium,D,SI1,59.7,59.0,5.82,5.8,3.47
0.9,Premium,J,VS2,59.8,62.0,6.24,6.21,3.72
0.7,Good,E,VS2,57.5,58.0,5.85,5.9,3.38
0.66,Ideal,G,VVS1,61.5,56.0,5.61,5.58,3.44
0.26,Good,D,VS2,65.2,56.0,3.99,4.02,2.61
0.79,Premium,H,VS1,60.0,60.0,6.07,5.99,3.64
0.77,Premium,E,SI1,60.9,58.0,5.94,5.88,3.6
0.71,Ideal,E,VS1,62.2,55.0,5.74,5.7,3.56
0.71,Very Good,D,VS1,63.4,55.0,5.69,5.61,3.58
0.29,Premium,F,SI1,62.4,58.0,4.24,4.26,2.65
0.72,Very Good,H,VVS2,60.3,56.0,5.81,5.83,3.51
0.34,Very Good,G,VS2,59.6,62.0,4.54,4.56,2.71
0.73,Very Good,D,SI1,63.9,57.0,5.66,5.71,3.63
0.71,Premium,D,SI1,62.7,60.0,5.67,5.71,3.57
0.82,Very Good,H,SI1,60.7,56.0,6.04,6.06,3.67
0.9,Premium,J,SI1,60.9,61.0,6.26,6.22,3.8
0.7,Premium,E,VS1,62.6,59.0,5.66,5.69,3.55
0.8,Ideal,G,VS2,62.2,56.0,5.94,5.87,3.67
0.96,Ideal,F,I1,60.7,55.0,6.37,6.41,3.88
0.72,Very Good,F,VS2,63.0,54.0,5.69,5.73,3.6
0.82,Premium,I,VS1,61.9,58.0,5.99,5.97,3.7
0.72,Premium,E,SI1,60.9,60.0,5.78,5.74,3.51
0.74,Premium,D,VS2,62.4,57.0,5.8,5.74,3.6
0.26,Very Good,E,VVS2,59.9,58.0,4.15,4.23,2.51
0.52,Ideal,F,VVS1,61.2,56.0,5.19,5.21,3.18
0.72,Ideal,D,SI1,61.1,56.0,5.78,5.81,3.54
1.05,Very Good,J,SI2,63.2,56.0,6.49,6.45,4.09
0.86,Good,F,SI2,64.3,60.0,5.97,5.95,3.83
0.77,Premium,G,VS1,61.4,58.0,5.94,5.89,3.63
0.24,Premium,G,VVS1,62.3,59.0,3.95,3.92,2.45
0.7,Premium,E,VS1,59.6,57.0,5.91,5.83,3.5
0.72,Premium,D,SI1,62.7,59.0,5.73,5.69,3.58
0.77,Premium,F,VS1,60.9,60.0,5.91,5.88,3.59
0.71,Ideal,G,VS2,61.3,56.0,5.75,5.71,3.51
0.51,Ideal,F,VVS1,62.0,57.0,5.11,5.15,3.18
0.75,Premium,F,VS2,59.6,59.0,6.04,5.94,3.57
0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45
0.9,Fair,I,SI1,65.3,61.0,5.98,5.94,3.89
0.7,Good,D,SI1,62.5,56.7,5.59,5.62,3.51
0.7,Premium,G,VS1,62.6,55.0,5.73,5.64,3.56
0.7,Very Good,F,VS2,60.9,61.0,5.66,5.71,3.46
0.74,Ideal,F,SI1,61.0,57.0,5.85,5.81,3.56
0.72,Ideal,G,SI1,61.8,56.0,5.72,5.75,3.55
0.71,Premium,F,VS1,59.2,58.0,5.87,5.82,3.46
0.73,Ideal,E,SI1,60.6,54.0,5.84,5.89,3.55
0.7,Ideal,H,SI1,61.4,56.0,5.72,5.77,3.53
0.29,Very Good,H,SI2,60.7,60.0,4.33,4.37,2.64
0.24,Very Good,J,VVS2,62.8,57.0,3.94,3.96,2.48
0.9,Premium,I,SI2,62.2,59.0,6.11,6.07,3.79
0.64,Ideal,D,VS1,61.5,56.0,5.54,5.55,3.41
0.73,Very Good,E,SI1,63.2,58.0,5.76,5.7,3.62
1.0,Fair,J,VS1,65.5,55.0,6.3,6.25,4.11
0.7,Premium,D,SI1,60.2,60.0,5.82,5.75,3.48
0.92,Very Good,J,SI2,58.7,61.0,6.34,6.43,3.75
0.8,Premium,G,SI1,63.0,59.0,5.9,5.81,3.69
0.96,Fair,E,SI2,53.1,63.0,6.73,6.65,3.55
0.72,Premium,E,VS2,60.3,59.0,5.84,5.8,3.51
0.73,Ideal,G,VVS2,61.3,57.0,5.81,5.84,3.57
0.22,Premium,F,SI1,60.4,61.0,3.88,3.84,2.33
0.31,Ideal,H,VS1,61.8,54.2,4.33,4.37,2.69
0.34,Good,E,SI1,63.4,55.0,4.44,4.46,2.82
0.71,Good,F,VS2,57.8,60.0,5.87,5.9,3.4
0.8,Fair,E,SI1,56.3,63.0,6.22,6.14,3.48
0.95,Premium,F,SI2,58.4,57.0,6.49,6.41,3.77
0.81,Premium,H,VS2,58.0,59.0,6.17,6.13,3.57
0.23,Very Good,F,VS1,60.9,57.0,3.96,3.99,2.42
0.71,Good,E,VS2,59.2,61.0,5.8,5.88,3.46
0.54,Ideal,E,VVS2,61.6,56.0,5.25,5.27,3.24
0.75,Very Good,D,SI1,63.2,56.0,5.8,5.75,3.65
0.7,Premium,E,SI1,61.0,58.0,5.78,5.72,3.51
0.71,Premium,D,SI1,62.7,60.0,5.71,5.67,3.57
0.26,Ideal,E,VS1,62.1,56.0,4.09,4.12,2.55
0.73,Very Good,F,VS1,61.8,59.0,5.73,5.79,3.56
0.82,Very Good,G,SI2,62.5,56.0,5.99,6.04,3.76
1.05,Premium,H,I1,62.0,59.0,6.5,6.47,4.02
1.03,Good,J,SI1,63.6,57.0,6.38,6.29,4.03
0.81,Very Good,F,SI1,63.1,59.0,5.85,5.79,3.67
0.74,Very Good,E,VS1,63.1,58.0,5.75,5.73,3.62
1.0,Ideal,I,SI2,61.7,56.0,6.45,6.41,3.97
0.72,Ideal,E,VS2,62.0,57.0,5.71,5.74,3.55
0.7,Very Good,E,VS2,58.7,63.0,5.73,5.69,3.35
0.73,Ideal,G,VVS2,61.3,57.0,5.84,5.81,3.57
0.9,Ideal,J,VS2,62.8,55.0,6.2,6.16,3.88
0.29,Ideal,F,VS1,61.6,56.0,4.26,4.31,2.64
0.71,Very Good,D,SI1,63.6,58.0,5.64,5.68,3.6
0.33,Ideal,I,SI2,61.8,55.0,4.49,4.51,2.78
0.74,Premium,G,VS1,61.7,58.0,5.79,5.81,3.58
1.01,Premium,F,I1,61.8,60.0,6.39,6.36,3.94
0.9,Premium,G,SI1,60.6,62.0,6.21,6.13,3.74
0.71,Premium,F,VS1,62.2,58.0,5.72,5.66,3.54
0.7,Premium,E,VS2,61.4,59.0,5.73,5.7,3.51
0.72,Ideal,H,VS1,62.3,56.0,5.73,5.77,3.58
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46
0.71,Premium,D,SI1,61.4,58.0,5.79,5.75,3.54
0.71,Premium,F,VS1,61.8,59.0,5.73,5.69,3.53
0.71,Premium,E,SI1,59.1,61.0,5.84,5.8,3.44
0.23,Good,F,VS1,58.2,59.0,4.06,4.08,2.37
0.96,Premium,I,SI1,61.3,58.0,6.39,6.3,3.89
0.83,Ideal,G,SI1,61.8,57.0,6.03,6.07,3.74
0.71,Very Good,E,VS2,60.7,56.0,5.81,5.82,3.53
0.73,Ideal,D,SI1,61.4,57.0,5.76,5.8,3.55
1.01,Good,I,I1,63.1,57.0,6.35,6.39,4.02
0.7,Ideal,F,SI1,61.0,56.0,5.75,5.8,3.52
0.82,Ideal,F,SI2,61.7,53.0,6.12,6.0,3.74
1.08,Premium,D,I1,61.9,60.0,6.55,6.48,4.03
0.32,Premium,I,SI1,61.0,59.0,4.39,4.36,2.67
1.03,Fair,I,SI2,65.3,55.0,6.32,6.27,4.11
0.74,Ideal,I,VVS2,62.3,55.0,5.77,5.81,3.61
0.81,Very Good,E,SI2,62.4,57.0,5.91,5.99,3.71
0.83,Premium,H,SI1,62.5,59.0,6.02,5.95,3.74
0.71,Premium,D,SI1,60.7,58.0,5.95,5.78,3.56
0.32,Good,H,SI2,63.8,56.0,4.36,4.38,2.79
0.7,Good,E,VS2,64.1,59.0,5.64,5.59,3.6
0.74,Very Good,D,SI1,63.9,57.0,5.72,5.74,3.66
0.82,Ideal,F,SI2,62.3,56.0,5.96,6.02,3.73
0.23,Very Good,E,VS2,63.8,55.0,3.85,3.92,2.48
0.3,Very Good,H,SI1,63.4,60.0,4.25,4.23,2.69
0.38,Ideal,I,SI2,61.6,56.0,4.65,4.67,2.87
0.77,Ideal,H,VS2,62.0,56.0,5.89,5.86,3.64
0.43,Very Good,E,I1,58.4,62.0,4.94,5.0,2.9
0.76,Ideal,F,SI1,61.4,56.0,5.88,5.92,3.62
0.62,Ideal,G,IF,60.5,57.0,5.52,5.56,3.35
0.33,Premium,G,SI2,62.6,58.0,4.42,4.4,2.76
0.71,Premium,E,SI1,62.7,58.0,5.73,5.66,3.57
0.81,Very Good,H,SI2,61.3,59.0,5.94,6.01,3.66
0.7,Fair,F,VS2,64.5,57.0,5.57,5.53,3.58
0.23,Very Good,E,VS1,59.5,58.0,4.01,4.06,2.4
0.75,Ideal,F,VS2,62.5,57.0,5.78,5.83,3.63
0.71,Premium,D,VS2,61.2,59.0,5.74,5.69,3.5
0.3,Very Good,J,SI1,62.7,59.0,4.21,4.27,2.66
0.7,Ideal,H,VVS1,62.0,55.0,5.74,5.71,3.55
0.53,Very Good,D,VVS2,57.5,64.0,5.34,5.37,3.08
0.7,Ideal,F,VS1,61.0,55.0,5.77,5.73,3.51
0.72,Ideal,E,SI1,62.5,55.0,5.69,5.74,3.57
0.73,Premium,E,SI1,61.3,58.0,5.83,5.76,3.55
0.57,Fair,E,VVS1,58.7,66.0,5.34,5.43,3.16
0.72,Very Good,F,VS1,60.2,59.0,5.79,5.84,3.5
0.72,Ideal,D,SI1,60.8,57.0,5.76,5.75,3.5
0.81,Very Good,F,SI1,61.3,57.0,6.02,6.05,3.7
0.7,Ideal,G,VS2,61.6,56.0,5.7,5.67,3.5
0.74,Ideal,I,SI1,61.3,56.0,5.82,5.86,3.57
0.81,Ideal,G,SI2,62.2,57.0,5.96,6.0,3.72
0.73,Premium,F,VS2,62.7,58.0,5.76,5.7,3.59
0.78,Premium,F,SI1,61.5,59.0,5.96,5.88,3.64
0.91,Good,I,VS2,64.3,58.0,6.05,6.09,3.9
0.33,Premium,J,VS1,61.5,61.0,4.46,4.39,2.72
0.83,Premium,H,SI1,60.0,59.0,6.08,6.05,3.64
0.72,Good,F,VS1,60.7,60.0,5.74,5.72,3.48
0.73,Ideal,F,VS1,61.2,56.0,5.89,5.81,3.58
0.71,Very Good,E,VS2,63.5,59.0,5.68,5.59,3.58
0.7,Premium,G,VS1,63.0,60.0,5.64,5.57,3.53
0.7,Ideal,D,SI1,61.0,59.0,5.68,5.7,3.47
0.54,Ideal,F,VVS1,61.8,56.0,5.23,5.26,3.24
0.81,Premium,D,SI2,59.2,57.0,6.15,6.05,3.61
0.3,Good,H,SI1,63.8,55.0,4.26,4.2,2.7
0.91,Fair,J,VS2,65.4,60.0,6.04,6.0,3.94
0.76,Premium,I,VVS1,58.8,59.0,6.0,5.94,3.51
0.79,Ideal,I,VS1,61.7,59.0,5.93,5.96,3.67
0.64,Premium,E,VVS2,62.1,58.0,5.56,5.51,3.44
0.3,Premium,H,SI1,62.9,59.0,4.28,4.24,2.68
0.7,Premium,E,SI1,62.7,59.0,5.67,5.63,3.54
0.73,Premium,E,SI1,59.6,61.0,5.92,5.85,3.51
0.82,Ideal,H,VS2,59.5,57.0,6.12,6.09,3.63
0.71,Premium,F,VS1,61.8,59.0,5.69,5.73,3.53
0.73,Ideal,F,SI1,62.1,55.0,5.75,5.78,3.58
0.7,Ideal,D,VS2,61.0,57.0,5.76,5.74,3.51
0.77,Very Good,H,SI1,61.7,56.0,5.84,5.89,3.62
0.7,Premium,E,VS2,62.4,61.0,5.66,5.63,3.52
0.7,Premium,E,SI1,61.3,58.0,5.71,5.68,3.49
0.79,Ideal,I,VS1,61.8,59.0,5.92,5.95,3.67
0.71,Premium,D,SI1,61.6,60.0,5.74,5.69,3.52
0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52
0.9,Premium,I,VS2,63.0,58.0,6.16,6.12,3.87
0.71,Very Good,F,VS1,62.8,56.0,5.69,5.72,3.58
0.72,Ideal,G,SI1,60.7,56.0,5.79,5.82,3.53
0.71,Premium,D,VS2,62.5,60.0,5.65,5.61,3.52
0.56,Very Good,D,VVS1,61.8,55.0,5.27,5.31,3.27
0.87,Very Good,G,SI2,59.9,58.0,6.19,6.23,3.72
0.91,Fair,J,VS2,64.4,62.0,6.06,6.03,3.89
0.32,Good,H,SI2,63.1,56.0,4.34,4.37,2.75
1.02,Premium,G,I1,60.3,58.0,6.55,6.5,3.94
0.9,Premium,I,SI1,63.0,58.0,6.09,6.01,3.81
0.24,Very Good,I,VVS1,62.3,57.0,3.95,3.98,2.47
0.55,Ideal,G,IF,60.9,57.0,5.28,5.3,3.22
0.56,Very Good,D,VVS1,62.0,56.0,5.25,5.3,3.27
0.26,Very Good,F,VVS2,59.2,60.0,4.19,4.22,2.49
0.71,Premium,E,VS2,62.3,58.0,5.71,5.66,3.54
0.73,Ideal,E,SI1,61.4,56.0,5.79,5.81,3.56
0.32,Premium,I,SI1,62.8,58.0,4.39,4.34,2.74
1.0,Fair,H,SI2,67.7,60.0,6.11,5.98,4.09
0.55,Very Good,D,VVS1,61.5,56.0,5.23,5.27,3.23
0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68
0.58,Ideal,G,VVS1,61.5,55.0,5.39,5.44,3.33
0.74,Ideal,G,VS2,62.3,55.0,5.8,5.83,3.62
0.31,Ideal,I,VVS1,61.6,55.0,4.36,4.41,2.7
0.8,Ideal,I,VS2,62.1,54.4,5.94,5.99,3.7
0.93,Premium,J,SI2,61.9,57.0,6.21,6.19,3.84
0.7,Very Good,D,SI1,62.3,58.0,5.69,5.73,3.56
0.63,Ideal,F,VVS2,61.9,57.0,5.47,5.51,3.4
0.96,Ideal,F,I1,60.7,55.0,6.41,6.37,3.88
0.3,Premium,H,SI1,62.9,58.0,4.28,4.24,2.68
0.71,Ideal,G,SI1,60.5,56.0,5.8,5.76,3.5
0.82,Ideal,H,VS2,61.5,56.0,6.01,6.08,3.72
0.7,Ideal,G,VS1,61.3,57.0,5.71,5.74,3.51
0.72,Fair,F,VS1,56.9,69.0,5.93,5.77,3.33
0.77,Premium,G,VS2,61.2,58.0,5.9,5.93,3.62
0.78,Ideal,I,VS2,61.8,55.0,5.92,5.95,3.67
0.7,Premium,E,VS2,62.6,56.0,5.71,5.66,3.56
0.72,Good,D,VS2,64.0,54.0,5.68,5.7,3.64
0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48
0.83,Good,I,VS2,64.6,54.0,5.85,5.88,3.79
